kingdom,id,scientificName,scientificName
Aves,11336,Circaetus gallicus,"Circaetus gallicus (Gmelin, JF, 1788)"
Aves,11024,Circus aeruginosus,"Circus aeruginosus (Linnaeus, 1758)"
Aves,11120,Circus cyaneus,"Circus cyaneus (Linnaeus, 1766)"
Aves,12048,Circus pygargus  ,"Circus pygargus (Linnaeus, 1758)"
Aves,11543,Cisticola juncidis,"Cisticola juncidis (Rafinesque, 1810)"
Aves,11369,Clamator glandarius,"Clamator glandarius (Linnaeus, 1758)"
Aves,11045,Coccothraustes coccothraustes,"Coccothraustes coccothraustes (Linnaeus, 1758)"
Aves,10723,Columba bollii,"Columba bollii Godman, 1872"
Aves,11544,Columba junoniae,"Columba junoniae Hartert, 1916"
Aves,11339,Coracias garrulus,"Coracias garrulus Linnaeus, 1758"
Aves,16310,Crex crex,"Crex crex (Linnaeus, 1758)"
Aves,10952,Cuculus canorus,"Cuculus canorus Linnaeus, 1758"
Aves,11113,Cursorius cursor,"Cursorius cursor (Latham, 1787)"
Aves,11113,Cursorius cursor,"Cursorius cursor (Latham, 1787)"
Aves,16423,Cyanistes caeruleus,"Cyanistes caeruleus (Linnaeus, 1758)"
Aves,80935,Cyanopica cyanus,"Cyanopica cooki Bonaparte, 1850"
Aves,12368,Delichon urbicum,"Delichon urbicum (Linnaeus, 1758)"
Aves,11591,Dendrocopos leucotos,"Dendrocopos leucotos (Bechstein, 1802)"
Aves,11649,Dendrocopos major,"Dendrocopos major (Linnaeus, 1758)"
Aves,79181,Dendrocopos medius,"Dendrocoptes medius (Linnaeus, 1758)"
Aves,33015,Dendrocopos minor,"Dryobates minor (Linnaeus, 1758)"
Aves,11684,Dryocopus martius,"Dryocopus martius (Linnaeus, 1758)"
Aves,23748,Egretta alba,"Ardea alba Linnaeus, 1758"
Aves,11340,Egretta garzetta,"Egretta garzetta (Linnaeus, 1766)"
Aves,10930,Elanus caeruleus,"Elanus caeruleus (Desfontaines, 1789)"
Aves,10890,Emberiza cia,"Emberiza cia Linnaeus, 1766"
Aves,10907,Emberiza cirlus,"Emberiza cirlus Linnaeus, 1766"
Aves,10911,Emberiza citrinella,"Emberiza citrinella Linnaeus, 1758"
Aves,11476,Emberiza hortulana,"Emberiza hortulana Linnaeus, 1758"
Aves,12162,Emberiza schoeniclus schoeniclus,"Emberiza schoeniclus schoeniclus (Linnaeus, 1758)"
Aves,12165,Emberiza schoeniclus whiterby/lusitanica,"Emberiza schoeniclus lusitanica Steinbacher, 1930 "
