yearmonth	lat	lon	family	familykey	genus	genuskey	species	specieskey
2020-06	40.54	0.07	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-09	41.685	1.757	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-01	37.854496	-2.972212	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-03	43.375727	-7.018092	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-10	42.042093	2.081322	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2002-12	40.08	-1.27	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-04	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-04	38.86	-0.31	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-08	39.9	-1.18	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-09	40.28	0.04	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-01	39.63	-0.87	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-05	40.56	-0.25	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-08	42.612313	-0.12049	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-10	43.385537	-4.224079	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-12	38.58	-0.76	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-11	42.925872	-7.210883	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-02	42.336	1.999	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-05	40.90767	0.135289	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-07	40.07	-1.13	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-01	38.66	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-05	39.59	-1.0	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-06	43.723256	-7.469881	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-10	39.401589	2.988269	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-07	43.358978	-7.223367	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-06	36.651322	-4.830637	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-05	40.283524	-1.147796	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-10	42.459529	-8.421927	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-10	39.75	-0.38	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-12	38.91	-0.3	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-04	41.763566	0.778828	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-11	39.462251	3.11993	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-03	37.97	-6.84	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-07	37.96	-6.42	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-03	42.575835	-4.558248	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-07	37.081	-2.804	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	41.936	1.644	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-01	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-07	39.32	-0.67	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-03	40.694956	0.558586	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-05	40.58	-0.18	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-02	39.7	-0.91	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-07	38.36	-0.58	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-11	38.36	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-06	42.893025	-3.84811	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-05	40.637747	-3.800754	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-08	38.66	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	37.11	-4.28	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-04	38.53	-0.75	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-10	39.13	-0.76	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-03	43.364333	-3.820833	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-11	38.73	-0.62	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-07	39.92	-1.2	Mustelidae	5307	Martes	2433765	Martes foina	5218887
